event_id,timestamp_open,datetime_open_utc,event_type,entry_price,fwd_ret_15m,fwd_ret_30m,fwd_ret_1h,fwd_ret_2h,fwd_ret_4h,fwd_ret_8h,fwd_ret_12h,fwd_ret_24h
5m_3902,1780329900000,2026-06-01 16:05:00+00:00,BREAKDOWN_CANDIDATE,70896.85,0.00039,0.00464,0.00941,0.00966,0.00908,0.00544,-0.00144,-0.0469
5m_3935,1780532700000,2026-06-04 00:25:00+00:00,BREAKDOWN_CANDIDATE,63358.01,0.00375,-0.00021,-0.01039,-0.00568,0.01919,0.00199,-0.00142,0.0087
5m_3968,1780667100000,2026-06-05 13:45:00+00:00,BREAKDOWN_CANDIDATE,61271.88,-0.01075,-0.00788,-0.00771,-0.0111,-0.00978,0.00859,-0.00326,-0.00743
5m_3969,1780667700000,2026-06-05 13:55:00+00:00,BREAKDOWN_CANDIDATE,60732.36,0.00219,-0.00556,0.00225,-0.00485,0.00134,0.01545,0.00538,0.00113
5m_4054,1780834200000,2026-06-07 12:10:00+00:00,BREAKDOWN_CANDIDATE,62085.16,-0.0024,-0.00703,-0.00499,-0.0047,0.00117,-0.00813,0.01865,0.01024
5m_4059,1780859700000,2026-06-07 19:15:00+00:00,BREAKDOWN_CANDIDATE,61288.01,0.00098,0.00219,0.00484,0.00932,0.02601,0.03145,0.02966,0.0355
5m_4066,1780920000000,2026-06-08 12:00:00+00:00,BREAKDOWN_CANDIDATE,62866.91,0.00042,0.00555,0.01376,0.01227,0.0157,0.008,0.00263,-0.0008
5m_4067,1780920600000,2026-06-08 12:10:00+00:00,BREAKDOWN_CANDIDATE,62720.81,0.00611,0.01464,0.0169,0.01839,0.01721,0.00844,0.00453,0.00185
5m_4212,1781447400000,2026-06-14 14:30:00+00:00,BREAKDOWN_CANDIDATE,64005.99,-0.00169,0.00202,0.00056,0.00272,-0.0041,0.0198,0.02464,0.03947
5m_4229,1781550900000,2026-06-15 19:15:00+00:00,BREAKDOWN_CANDIDATE,66414.9,0.00401,0.00305,0.00188,0.00174,-0.00333,-0.00956,0.00039,-0.01167
5m_4234,1781576700000,2026-06-16 02:25:00+00:00,BREAKDOWN_CANDIDATE,65776.01,0.00155,-0.00052,0.00311,0.0031,0.00856,0.01362,-0.00339,0.00502
5m_4238,1781615100000,2026-06-16 13:05:00+00:00,BREAKDOWN_CANDIDATE,66168.96,0.00013,-0.00197,-0.00095,-0.00556,-0.00603,-0.00361,-0.00573,-0.0177
5m_4239,1781619300000,2026-06-16 14:15:00+00:00,BREAKDOWN_CANDIDATE,65714.0,-0.00222,-0.00076,0.00127,0.00055,0.00587,0.00256,0.0028,-0.00683
5m_4263,1781685300000,2026-06-17 08:35:00+00:00,BREAKDOWN_CANDIDATE,64990.77,-0.00106,-0.00043,-0.00032,-0.00121,-0.00274,0.01582,-0.00961,-0.00623
5m_4274,1781723700000,2026-06-17 19:15:00+00:00,BREAKDOWN_CANDIDATE,64772.69,-0.00525,-0.00936,-0.0069,-0.00691,-0.00481,-0.00416,-0.00918,-0.03206
5m_4368,1782075900000,2026-06-21 21:05:00+00:00,BREAKDOWN_CANDIDATE,63559.99,0.00225,0.00614,0.0006,0.00323,0.00522,0.01045,0.00956,0.01319
