event_bar_idx,event_datetime,control_bar_idx,control_datetime,session,rv_quintile
195524,2022-11-11 14:05:00+00:00,166506,2022-08-02 19:55:00+00:00,0.0,4
195524,2022-11-11 14:05:00+00:00,79528,2021-10-04 19:45:00+00:00,0.0,4
195524,2022-11-11 14:05:00+00:00,438731,2025-03-05 02:40:00+00:00,0.0,4
195793,2022-11-12 12:30:00+00:00,17541,2021-03-02 23:00:00+00:00,0.0,4
195793,2022-11-12 12:30:00+00:00,549142,2026-03-23 11:35:00+00:00,0.0,4
195793,2022-11-12 12:30:00+00:00,142387,2022-05-11 02:00:00+00:00,0.0,4
195793,2022-11-12 12:30:00+00:00,22148,2021-03-19 00:25:00+00:00,0.0,4
195793,2022-11-12 12:30:00+00:00,542831,2026-03-01 13:40:00+00:00,0.0,4
202417,2022-12-05 12:30:00+00:00,593180,2026-08-23 09:25:00+00:00,0.0,1
202417,2022-12-05 12:30:00+00:00,248942,2023-05-16 02:55:00+00:00,0.0,1
202417,2022-12-05 12:30:00+00:00,247343,2023-05-10 13:40:00+00:00,0.0,1
202417,2022-12-05 12:30:00+00:00,455565,2025-05-02 13:30:00+00:00,0.0,1
202417,2022-12-05 12:30:00+00:00,563473,2026-05-12 05:50:00+00:00,0.0,1
204433,2022-12-12 12:30:00+00:00,575045,2026-06-21 10:10:00+00:00,0.0,0
204433,2022-12-12 12:30:00+00:00,360731,2024-06-07 06:40:00+00:00,0.0,0
204433,2022-12-12 12:30:00+00:00,475281,2025-07-10 00:30:00+00:00,0.0,0
204433,2022-12-12 12:30:00+00:00,206254,2022-12-18 20:15:00+00:00,0.0,0
204433,2022-12-12 12:30:00+00:00,271014,2023-07-31 18:15:00+00:00,0.0,0
204569,2022-12-12 23:50:00+00:00,279914,2023-08-31 15:55:00+00:00,0.0,0
204569,2022-12-12 23:50:00+00:00,262590,2023-07-02 12:15:00+00:00,0.0,0
204569,2022-12-12 23:50:00+00:00,203312,2022-12-08 15:05:00+00:00,0.0,0
204569,2022-12-12 23:50:00+00:00,583204,2026-07-19 18:05:00+00:00,0.0,0
204569,2022-12-12 23:50:00+00:00,528517,2026-01-10 20:50:00+00:00,0.0,0
205087,2022-12-14 19:00:00+00:00,367734,2024-07-01 14:15:00+00:00,0.0,1
205087,2022-12-14 19:00:00+00:00,410054,2024-11-25 12:55:00+00:00,0.0,1
205087,2022-12-14 19:00:00+00:00,373909,2024-07-23 00:50:00+00:00,0.0,1
205087,2022-12-14 19:00:00+00:00,573376,2026-06-15 15:05:00+00:00,0.0,1
205087,2022-12-14 19:00:00+00:00,358748,2024-05-31 09:25:00+00:00,0.0,1
211345,2023-01-05 12:30:00+00:00,349408,2024-04-28 23:05:00+00:00,0.0,0
211345,2023-01-05 12:30:00+00:00,556980,2026-04-19 16:45:00+00:00,0.0,0
211345,2023-01-05 12:30:00+00:00,357120,2024-05-25 17:45:00+00:00,0.0,0
211345,2023-01-05 12:30:00+00:00,325016,2024-02-04 06:25:00+00:00,0.0,0
211345,2023-01-05 12:30:00+00:00,393614,2024-09-29 10:55:00+00:00,0.0,0
213361,2023-01-12 12:30:00+00:00,214668,2023-01-17 01:25:00+00:00,0.0,3
213361,2023-01-12 12:30:00+00:00,164329,2022-07-26 06:30:00+00:00,0.0,3
213361,2023-01-12 12:30:00+00:00,388547,2024-09-11 20:40:00+00:00,0.0,3
213361,2023-01-12 12:30:00+00:00,65337,2021-08-16 11:10:00+00:00,0.0,3
213361,2023-01-12 12:30:00+00:00,83624,2021-10-19 01:05:00+00:00,0.0,3
219199,2023-02-01 19:00:00+00:00,415572,2024-12-14 16:45:00+00:00,0.0,1
219199,2023-02-01 19:00:00+00:00,375122,2024-07-27 05:55:00+00:00,0.0,1
219199,2023-02-01 19:00:00+00:00,283695,2023-09-13 19:00:00+00:00,0.0,1
219199,2023-02-01 19:00:00+00:00,185555,2022-10-07 23:20:00+00:00,0.0,1
219199,2023-02-01 19:00:00+00:00,524987,2025-12-29 14:40:00+00:00,0.0,1
220273,2023-02-05 12:30:00+00:00,486027,2025-08-16 08:00:00+00:00,0.0,0
220273,2023-02-05 12:30:00+00:00,587406,2026-08-03 08:15:00+00:00,0.0,0
220273,2023-02-05 12:30:00+00:00,212071,2023-01-08 01:00:00+00:00,0.0,0
220273,2023-02-05 12:30:00+00:00,597817,2026-09-08 11:50:00+00:00,0.0,0
220273,2023-02-05 12:30:00+00:00,267443,2023-07-19 08:40:00+00:00,0.0,0
222289,2023-02-12 12:30:00+00:00,302994,2023-11-19 19:15:00+00:00,0.0,0
222289,2023-02-12 12:30:00+00:00,202033,2022-12-04 04:30:00+00:00,0.0,0
222289,2023-02-12 12:30:00+00:00,265366,2023-07-12 03:35:00+00:00,0.0,0
222289,2023-02-12 12:30:00+00:00,490221,2025-08-30 21:30:00+00:00,0.0,0
222289,2023-02-12 12:30:00+00:00,472420,2025-06-30 02:05:00+00:00,0.0,0
228337,2023-03-05 12:30:00+00:00,253172,2023-05-30 19:25:00+00:00,0.0,1
228337,2023-03-05 12:30:00+00:00,308538,2023-12-09 01:15:00+00:00,0.0,1
228337,2023-03-05 12:30:00+00:00,499524,2025-10-02 04:45:00+00:00,0.0,1
228337,2023-03-05 12:30:00+00:00,262826,2023-07-03 07:55:00+00:00,0.0,1
228337,2023-03-05 12:30:00+00:00,240992,2023-04-18 12:25:00+00:00,0.0,1
229304,2023-03-08 21:05:00+00:00,574663,2026-06-20 02:20:00+00:00,0.0,1
229304,2023-03-08 21:05:00+00:00,394169,2024-10-01 09:10:00+00:00,0.0,1
229304,2023-03-08 21:05:00+00:00,283755,2023-09-14 00:00:00+00:00,0.0,1
229304,2023-03-08 21:05:00+00:00,299849,2023-11-08 21:10:00+00:00,0.0,1
229304,2023-03-08 21:05:00+00:00,282040,2023-09-08 01:05:00+00:00,0.0,1
229820,2023-03-10 16:05:00+00:00,502045,2025-10-10 22:50:00+00:00,0.0,4
229820,2023-03-10 16:05:00+00:00,187427,2022-10-14 11:20:00+00:00,0.0,4
229820,2023-03-10 16:05:00+00:00,152994,2022-06-16 21:55:00+00:00,0.0,4
229820,2023-03-10 16:05:00+00:00,159227,2022-07-08 13:20:00+00:00,0.0,4
229820,2023-03-10 16:05:00+00:00,111801,2022-01-24 21:10:00+00:00,0.0,4
229940,2023-03-11 02:05:00+00:00,16597,2021-02-27 16:20:00+00:00,0.0,4
229940,2023-03-11 02:05:00+00:00,171503,2022-08-20 04:20:00+00:00,0.0,4
229940,2023-03-11 02:05:00+00:00,16112,2021-02-25 23:55:00+00:00,0.0,4
229940,2023-03-11 02:05:00+00:00,262174,2023-07-01 01:35:00+00:00,0.0,4
229940,2023-03-11 02:05:00+00:00,196258,2022-11-14 03:15:00+00:00,0.0,4
230353,2023-03-12 12:30:00+00:00,313451,2023-12-26 02:40:00+00:00,0.0,1
230353,2023-03-12 12:30:00+00:00,568684,2026-05-30 08:05:00+00:00,0.0,1
230353,2023-03-12 12:30:00+00:00,109177,2022-01-15 18:30:00+00:00,0.0,1
230353,2023-03-12 12:30:00+00:00,240671,2023-04-17 09:40:00+00:00,0.0,1
230353,2023-03-12 12:30:00+00:00,455222,2025-05-01 08:55:00+00:00,0.0,1
230470,2023-03-12 22:15:00+00:00,509225,2025-11-04 21:10:00+00:00,0.0,3
230470,2023-03-12 22:15:00+00:00,593819,2026-08-25 14:40:00+00:00,0.0,3
230470,2023-03-12 22:15:00+00:00,95368,2021-11-28 19:45:00+00:00,0.0,3
230470,2023-03-12 22:15:00+00:00,143734,2022-05-15 18:15:00+00:00,0.0,3
230470,2023-03-12 22:15:00+00:00,183718,2022-10-01 14:15:00+00:00,0.0,3
233299,2023-03-22 18:00:00+00:00,69526,2021-08-31 00:15:00+00:00,0.0,2
233299,2023-03-22 18:00:00+00:00,199291,2022-11-24 16:00:00+00:00,0.0,2
233299,2023-03-22 18:00:00+00:00,347665,2024-04-22 21:50:00+00:00,0.0,2
233299,2023-03-22 18:00:00+00:00,523396,2025-12-24 02:05:00+00:00,0.0,2
233299,2023-03-22 18:00:00+00:00,71047,2021-09-05 07:00:00+00:00,0.0,2
237249,2023-04-05 12:30:00+00:00,476909,2025-07-15 16:10:00+00:00,0.0,2
237249,2023-04-05 12:30:00+00:00,477144,2025-07-16 11:45:00+00:00,0.0,2
237249,2023-04-05 12:30:00+00:00,118602,2022-02-17 11:55:00+00:00,0.0,2
237249,2023-04-05 12:30:00+00:00,70960,2021-09-04 23:45:00+00:00,0.0,2
237249,2023-04-05 12:30:00+00:00,73013,2021-09-12 02:50:00+00:00,0.0,2
239265,2023-04-12 12:30:00+00:00,185271,2022-10-06 23:40:00+00:00,0.0,2
239265,2023-04-12 12:30:00+00:00,28332,2021-04-09 11:45:00+00:00,0.0,2
239265,2023-04-12 12:30:00+00:00,362683,2024-06-14 01:20:00+00:00,0.0,2
239265,2023-04-12 12:30:00+00:00,108963,2022-01-15 00:40:00+00:00,0.0,2
239265,2023-04-12 12:30:00+00:00,131480,2022-04-03 05:05:00+00:00,0.0,2
245379,2023-05-03 18:00:00+00:00,402924,2024-10-31 18:45:00+00:00,0.0,2
245379,2023-05-03 18:00:00+00:00,217066,2023-01-25 09:15:00+00:00,0.0,2
245379,2023-05-03 18:00:00+00:00,412167,2024-12-02 21:00:00+00:00,0.0,2
245379,2023-05-03 18:00:00+00:00,515428,2025-11-26 10:05:00+00:00,0.0,2
245379,2023-05-03 18:00:00+00:00,579432,2026-07-06 15:45:00+00:00,0.0,2
245889,2023-05-05 12:30:00+00:00,251528,2023-05-25 02:25:00+00:00,0.0,2
245889,2023-05-05 12:30:00+00:00,245266,2023-05-03 08:35:00+00:00,0.0,2
245889,2023-05-05 12:30:00+00:00,479760,2025-07-25 13:45:00+00:00,0.0,2
245889,2023-05-05 12:30:00+00:00,168612,2022-08-10 03:25:00+00:00,0.0,2
245889,2023-05-05 12:30:00+00:00,304586,2023-11-25 07:55:00+00:00,0.0,2
247905,2023-05-12 12:30:00+00:00,316323,2024-01-05 02:00:00+00:00,0.0,3
247905,2023-05-12 12:30:00+00:00,84207,2021-10-21 01:40:00+00:00,0.0,3
247905,2023-05-12 12:30:00+00:00,196682,2022-11-15 14:35:00+00:00,0.0,3
247905,2023-05-12 12:30:00+00:00,167104,2022-08-04 21:45:00+00:00,0.0,3
247905,2023-05-12 12:30:00+00:00,344126,2024-04-10 14:55:00+00:00,0.0,3
254817,2023-06-05 12:30:00+00:00,482451,2025-08-03 22:00:00+00:00,0.0,0
254817,2023-06-05 12:30:00+00:00,567457,2026-05-26 01:50:00+00:00,0.0,0
254817,2023-06-05 12:30:00+00:00,248638,2023-05-15 01:35:00+00:00,0.0,0
254817,2023-06-05 12:30:00+00:00,188039,2022-10-16 14:20:00+00:00,0.0,0
254817,2023-06-05 12:30:00+00:00,326994,2024-02-11 03:15:00+00:00,0.0,0
254853,2023-06-05 15:30:00+00:00,202344,2022-12-05 06:25:00+00:00,0.0,0
254853,2023-06-05 15:30:00+00:00,273275,2023-08-08 14:40:00+00:00,0.0,0
254853,2023-06-05 15:30:00+00:00,584989,2026-07-25 22:50:00+00:00,0.0,0
254853,2023-06-05 15:30:00+00:00,208337,2022-12-26 01:50:00+00:00,0.0,0
254853,2023-06-05 15:30:00+00:00,597578,2026-09-07 15:55:00+00:00,0.0,0
255105,2023-06-06 12:30:00+00:00,65050,2021-08-15 11:15:00+00:00,0.0,3
255105,2023-06-06 12:30:00+00:00,183683,2022-10-01 11:20:00+00:00,0.0,3
255105,2023-06-06 12:30:00+00:00,541526,2026-02-25 00:55:00+00:00,0.0,3
255105,2023-06-06 12:30:00+00:00,514966,2025-11-24 19:35:00+00:00,0.0,3
255105,2023-06-06 12:30:00+00:00,233061,2023-03-21 22:10:00+00:00,0.0,3
256833,2023-06-12 12:30:00+00:00,557484,2026-04-21 10:45:00+00:00,0.0,1
256833,2023-06-12 12:30:00+00:00,444518,2025-03-25 04:55:00+00:00,0.0,1
256833,2023-06-12 12:30:00+00:00,564534,2026-05-15 22:15:00+00:00,0.0,1
256833,2023-06-12 12:30:00+00:00,464575,2025-06-02 20:20:00+00:00,0.0,1
256833,2023-06-12 12:30:00+00:00,137732,2022-04-24 22:05:00+00:00,0.0,1
257475,2023-06-14 18:00:00+00:00,584372,2026-07-23 19:25:00+00:00,0.0,0
257475,2023-06-14 18:00:00+00:00,205421,2022-12-15 22:50:00+00:00,0.0,0
257475,2023-06-14 18:00:00+00:00,389428,2024-09-14 22:05:00+00:00,0.0,0
257475,2023-06-14 18:00:00+00:00,528682,2026-01-11 10:35:00+00:00,0.0,0
257475,2023-06-14 18:00:00+00:00,190062,2022-10-23 14:55:00+00:00,0.0,0
257784,2023-06-15 19:45:00+00:00,225228,2023-02-22 17:25:00+00:00,0.0,3
257784,2023-06-15 19:45:00+00:00,233951,2023-03-25 01:40:00+00:00,0.0,3
257784,2023-06-15 19:45:00+00:00,449733,2025-04-12 07:30:00+00:00,0.0,3
257784,2023-06-15 19:45:00+00:00,118825,2022-02-18 06:30:00+00:00,0.0,3
257784,2023-06-15 19:45:00+00:00,166195,2022-08-01 18:00:00+00:00,0.0,3
263457,2023-07-05 12:30:00+00:00,411843,2024-12-01 18:00:00+00:00,0.0,0
263457,2023-07-05 12:30:00+00:00,357495,2024-05-27 01:00:00+00:00,0.0,0
263457,2023-07-05 12:30:00+00:00,331063,2024-02-25 06:20:00+00:00,0.0,0
263457,2023-07-05 12:30:00+00:00,207594,2022-12-23 11:55:00+00:00,0.0,0
263457,2023-07-05 12:30:00+00:00,526792,2026-01-04 21:05:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,595248,2026-08-30 13:45:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,265469,2023-07-12 12:10:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,516649,2025-11-30 15:50:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,270152,2023-07-28 18:25:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,238094,2023-04-08 10:55:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,439945,2025-03-09 07:50:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,560402,2026-05-01 13:55:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,595363,2026-08-30 23:20:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,367486,2024-06-30 17:35:00+00:00,0.0,0
265473,2023-07-12 12:30:00+00:00,213122,2023-01-11 16:35:00+00:00,0.0,0
269571,2023-07-26 18:00:00+00:00,497303,2025-09-24 11:40:00+00:00,0.0,0
269571,2023-07-26 18:00:00+00:00,208062,2022-12-25 02:55:00+00:00,0.0,0
269571,2023-07-26 18:00:00+00:00,299523,2023-11-07 18:00:00+00:00,0.0,0
269571,2023-07-26 18:00:00+00:00,211184,2023-01-04 23:05:00+00:00,0.0,0
269571,2023-07-26 18:00:00+00:00,268041,2023-07-21 10:30:00+00:00,0.0,0
272385,2023-08-05 12:30:00+00:00,588335,2026-08-06 13:40:00+00:00,0.0,0
272385,2023-08-05 12:30:00+00:00,287308,2023-09-26 08:05:00+00:00,0.0,0
272385,2023-08-05 12:30:00+00:00,465893,2025-06-07 10:10:00+00:00,0.0,0
272385,2023-08-05 12:30:00+00:00,276724,2023-08-20 14:05:00+00:00,0.0,0
272385,2023-08-05 12:30:00+00:00,281903,2023-09-07 13:40:00+00:00,0.0,0
274401,2023-08-12 12:30:00+00:00,389512,2024-09-15 05:05:00+00:00,0.0,0
274401,2023-08-12 12:30:00+00:00,471733,2025-06-27 16:50:00+00:00,0.0,0
274401,2023-08-12 12:30:00+00:00,288730,2023-10-01 06:35:00+00:00,0.0,0
274401,2023-08-12 12:30:00+00:00,492409,2025-09-07 11:50:00+00:00,0.0,0
274401,2023-08-12 12:30:00+00:00,441820,2025-03-15 20:05:00+00:00,0.0,0
279323,2023-08-29 14:40:00+00:00,300375,2023-11-10 17:00:00+00:00,0.0,3
