event_family,horizon,window_bars,window_type,n_events,ev_mean_abs_ret_pct,ctrl_mean_abs_ret_pct,vol_ratio,ev_jump_rate_pct,ctrl_jump_rate_pct,jump_multiplier,ev_directional_pos_pct,ctrl_directional_pos_pct,mean_signed_ret_bps
CORPORATE_TREASURY,+48h,576,POST,2,4.675651506408762,2.8715039526693125,1.6282930322172486,0.0,0.45454545454545453,0.0,100.0,52.27272727272727,467.56515064087625
CORPORATE_TREASURY,-24h,-288,PRE,2,6.715650204745938,2.2748300492704345,2.9521533948201237,0.0,1.090909090909091,0.0,50.0,51.090909090909086,212.1925131560243
CORPORATE_TREASURY,-12h,-144,PRE,2,4.726795676122286,1.5334003076354825,3.0825561792503255,50.0,0.8181818181818182,61.111036419844375,50.0,51.72727272727272,450.46661673957544
CORPORATE_TREASURY,-4h,-48,PRE,2,4.001654136738697,0.8461507836784508,4.729239143528628,50.0,1.2727272727272727,39.2856834183916,100.0,52.0,400.1654136738697
CORPORATE_TREASURY,-1h,-12,PRE,2,3.545500517836686,0.4095484411893384,8.657075706270026,50.0,1.090909090909091,45.83329131948295,100.0,49.63636363636363,354.5500517836686
CORPORATE_TREASURY,-15m,-3,PRE,2,1.9478072304259797,0.2056510399560374,9.471373251840175,50.0,0.8181818181818182,61.111036419844375,50.0,51.45454545454545,178.95285885838774
REGULATORY,+5m,1,POST,3,1.812861287369986,0.11596178995538718,15.633129282827914,66.66666666666666,1.3636363636363635,48.88885303706333,33.33333333333333,51.45454545454545,-56.921005991264664
REGULATORY,+15m,3,POST,3,4.977071426721716,0.20587920490585696,24.17459915098485,33.33333333333333,0.9090909090909091,36.6666263333777,33.33333333333333,51.090909090909086,-419.7757122396931
REGULATORY,+30m,6,POST,3,7.980487699515966,0.2859624331873203,27.90737126969779,33.33333333333333,1.090909090909091,30.55552754632197,33.33333333333333,51.63636363636363,-715.4615344200721
REGULATORY,+1h,12,POST,3,2.097386346748209,0.3837394996490768,5.465637191451588,33.33333333333333,1.090909090909091,30.55552754632197,66.66666666666666,52.81818181818182,-127.08195018646506
REGULATORY,+4h,48,POST,3,2.669216435227047,0.802415377805241,3.3264730245509866,0.0,0.45454545454545453,0.0,100.0,52.36363636363637,266.9216435227047
REGULATORY,+12h,144,POST,3,2.1098102921529955,1.4392783568175658,1.465879630774432,0.0,0.45454545454545453,0.0,66.66666666666666,50.90909090909091,-30.596268637950175
REGULATORY,+24h,288,POST,3,7.671163196875419,2.0943799029508114,3.662735458515391,0.0,0.5454545454545455,0.0,100.0,48.90909090909091,767.1163196875419
REGULATORY,+48h,576,POST,3,7.352288584181643,2.8715039526693125,2.5604304033489664,0.0,0.45454545454545453,0.0,66.66666666666666,52.27272727272727,729.0547316046474
REGULATORY,-24h,-288,PRE,3,7.362615509386987,2.2748300492704345,3.236554869315796,33.33333333333333,1.090909090909091,30.55552754632197,66.66666666666666,51.090909090909086,-341.73836431055685
REGULATORY,-12h,-144,PRE,3,6.091416101420441,1.5334003076354825,3.9724865702726273,33.33333333333333,0.8181818181818182,40.740690946562914,66.66666666666666,51.72727272727272,-236.099838020903
REGULATORY,-4h,-48,PRE,3,3.5631113213356733,0.8461507836784508,4.210960007489276,33.33333333333333,1.2727272727272727,26.190455612261065,33.33333333333333,52.0,-119.24405121111667
REGULATORY,-1h,-12,PRE,3,1.3501279833563493,0.4095484411893384,3.2966178135551965,0.0,1.090909090909091,0.0,66.66666666666666,49.63636363636363,-21.07668414952949
REGULATORY,-15m,-3,PRE,3,1.1694487743476145,0.2056510399560374,5.686541084628237,66.66666666666666,0.8181818181818182,81.48138189312583,66.66666666666666,51.45454545454545,-9.183866026383214
GEOPOLITICAL,+5m,1,POST,4,0.4110194034402159,0.11596178995538718,3.5444076811047918,25.0,1.3636363636363635,18.33331988889875,50.0,51.45454545454545,-27.97114660180622
GEOPOLITICAL,+15m,3,POST,4,0.9807667237245354,0.20587920490585696,4.76377378861174,25.0,0.9090909090909091,27.499969750033276,75.0,51.090909090909086,-5.56400685148617
GEOPOLITICAL,+30m,6,POST,4,4.191110956846789,0.2859624331873203,14.656107986021423,25.0,1.090909090909091,22.916645659741476,50.0,51.63636363636363,-373.69380347184847
GEOPOLITICAL,+1h,12,POST,4,1.7169809253202661,0.3837394996490768,4.474328164190154,25.0,1.090909090909091,22.916645659741476,25.0,52.81818181818182,-161.13940869189048
GEOPOLITICAL,+4h,48,POST,4,2.678186075407707,0.802415377805241,3.3376513110724972,25.0,0.45454545454545453,54.999879000266205,25.0,52.36363636363637,-183.51745255130947
GEOPOLITICAL,+12h,144,POST,4,2.3424862549815906,1.4392783568175658,1.6275410634396459,0.0,0.45454545454545453,0.0,75.0,50.90909090909091,-73.69516262166087
GEOPOLITICAL,+24h,288,POST,4,4.46489874163456,2.0943799029508114,2.1318465687611465,0.0,0.5454545454545455,0.0,25.0,48.90909090909091,26.83708382296146
GEOPOLITICAL,+48h,576,POST,4,5.193447623043657,2.8715039526693125,1.8086152413618153,0.0,0.45454545454545453,0.0,75.0,52.27272727272727,202.15275553099764
GEOPOLITICAL,-24h,-288,PRE,4,5.245048607276459,2.2748300492704345,2.305687101008494,0.0,1.090909090909091,0.0,25.0,51.090909090909086,-99.98867709291481
GEOPOLITICAL,-12h,-144,PRE,4,6.588698084769717,1.5334003076354825,4.296786530676398,25.0,0.8181818181818182,30.555518209922187,25.0,51.72727272727272,-339.14485828642427
GEOPOLITICAL,-4h,-48,PRE,4,3.591718969285873,0.8461507836784508,4.2447691283846245,25.0,1.2727272727272727,19.6428417091958,25.0,52.0,-121.37539955959565
GEOPOLITICAL,-1h,-12,PRE,4,2.1019091331830886,0.4095484411893384,5.132247591595069,25.0,1.090909090909091,22.916645659741476,25.0,49.63636363636363,-161.99731385373894
GEOPOLITICAL,-15m,-3,PRE,4,0.4279279351493859,0.2056510399560374,2.0808348667042873,0.0,0.8181818181818182,0.0,0.0,51.45454545454545,-42.79279351493859
CRYPTO_MARKET_STRUCTURE,+5m,1,POST,2,0.3979399467369582,0.11596178995538718,3.4316175636171944,50.0,1.3636363636363635,36.6666397777975,50.0,51.45454545454545,36.11041176987406
CRYPTO_MARKET_STRUCTURE,+15m,3,POST,2,0.3729642251974141,0.20587920490585696,1.8115594229564704,0.0,0.9090909090909091,0.0,100.0,51.090909090909086,37.29642251974141
CRYPTO_MARKET_STRUCTURE,+30m,6,POST,2,0.1879693753222611,0.2859624331873203,0.657319620299606,0.0,1.090909090909091,0.0,100.0,51.63636363636363,18.79693753222611
CRYPTO_MARKET_STRUCTURE,+1h,12,POST,2,0.30341229213197707,0.3837394996490768,0.7906704984473666,0.0,1.090909090909091,0.0,100.0,52.81818181818182,30.341229213197707
CRYPTO_MARKET_STRUCTURE,+4h,48,POST,2,0.5566690780676176,0.802415377805241,0.6937409223752532,0.0,0.45454545454545453,0.0,50.0,52.36363636363637,-0.8870880917388746
CRYPTO_MARKET_STRUCTURE,+12h,144,POST,2,0.8480663511022613,1.4392783568175658,0.5892298441474534,0.0,0.45454545454545453,0.0,50.0,50.90909090909091,-49.31370499239307
CRYPTO_MARKET_STRUCTURE,+24h,288,POST,2,2.010147196080858,2.0943799029508114,0.9597810948565875,0.0,0.5454545454545455,0.0,100.0,48.90909090909091,201.0147196080858
CRYPTO_MARKET_STRUCTURE,+48h,576,POST,2,3.953167723037687,2.8715039526693125,1.3766884571669902,0.0,0.45454545454545453,0.0,50.0,52.27272727272727,-147.3386205012872
CRYPTO_MARKET_STRUCTURE,-24h,-288,PRE,2,1.06338989428707,2.2748300492704345,0.4674588447472228,0.0,1.090909090909091,0.0,100.0,51.090909090909086,106.33898942870701
CRYPTO_MARKET_STRUCTURE,-12h,-144,PRE,2,1.4217508753365138,1.5334003076354825,0.9271877285202432,0.0,0.8181818181818182,0.0,50.0,51.72727272727272,-134.19046956798297
CRYPTO_MARKET_STRUCTURE,-4h,-48,PRE,2,0.6752305156043192,0.8461507836784508,0.7980016453654561,0.0,1.2727272727272727,0.0,0.0,52.0,-67.52305156043192
