timeframe,timestamp_open,timestamp_close,datetime_open_utc,event_type,event_score,is_significant,close_price,return_simple,normalized_range,volume,volatility_realized,regime_during,event_id,global_event_id,pre_return_1h,pre_vol_mean_1h,pre_return_4h,pre_vol_mean_4h,pre_return_12h,pre_vol_mean_12h,pre_return_24h,pre_vol_mean_24h,pre_return_3d,pre_vol_mean_3d,pre_return_7d,pre_vol_mean_7d,post_return_1h,post_mfe_1h,post_mae_1h,post_return_4h,post_mfe_4h,post_mae_4h,post_return_12h,post_mfe_12h,post_mae_12h,post_return_24h,post_mfe_24h,post_mae_24h,post_return_3d,post_mfe_3d,post_mae_3d,post_return_7d,post_mfe_7d,post_mae_7d,outcome_classification
5m,1788672900000,1788673199999,2026-09-06 05:35:00+00:00,UPWARD_EXPANSION,0.9561,False,80086.0,0.0021193336105387317,0.0021148515346002465,52.12624,0.0007414543170747988,HIGH_VOLATILITY,5m_157,GEV_0020,0.00216,60.14,0.00057,32.02,0.0012,33.24,0.00637,32.8,0.03416,54.88,0.01839,51.19,-0.00327,0.00027,-0.00347,-0.00223,0.00027,-0.00636,-0.0042,0.00027,-0.01065,-0.00275,0.00592,-0.01065,-0.01426,0.00592,-0.03079,-0.03479,0.00592,-0.05044,FAILED_EXPANSION
5m,1788684300000,1788684599999,2026-09-06 08:45:00+00:00,COMPRESSION,0.2021,False,79771.38,-0.00010478850896233904,0.0002225108804686593,13.25061,0.000278232303316865,LOW_VOLATILITY_COMPRESSION,5m_158,GEV_0021,-0.00085,45.75,-0.00177,41.03,0.00014,31.77,0.00215,33.9,0.02526,54.46,0.01438,50.75,0.00104,0.00274,-0.00012,0.00223,0.00312,-0.00012,0.00201,0.00312,-0.00675,-0.00422,0.00989,-0.00966,-0.00203,0.00989,-0.02697,-0.03632,0.00989,-0.04669,COMPRESSION_REGIME
5m,1788692100000,1788692399999,2026-09-06 10:55:00+00:00,COMPRESSION,0.1431,False,80003.93,-9.99949877567019e-07,0.0002009901263600644,20.4055,0.00025770150468710487,LOW_VOLATILITY_COMPRESSION,5m_159,GEV_0022,0.00148,27.53,0.00275,37.69,0.00276,33.43,0.00485,34.42,0.02918,54.63,0.01734,50.51,-0.00106,0.0002,-0.00142,-0.00576,0.0002,-0.00964,0.00064,0.00112,-0.00964,-0.00805,0.00695,-0.01253,-0.01355,0.00695,-0.0298,-0.04158,0.00695,-0.04946,COMPRESSION_REGIME
5m,1788705000000,1788705299999,2026-09-06 14:30:00+00:00,DOWNWARD_EXPANSION,0.9512,False,79559.75,-0.0014066454111378857,0.0055156030530514105,259.7761,0.000575158035030992,HIGH_VOLATILITY,5m_160,GEV_0023,-0.00295,58.39,-0.00524,31.14,-0.00473,33.48,-0.00236,35.16,-0.00251,52.29,0.01169,50.04,0.00098,0.00248,-0.00411,0.00465,0.00498,-0.00411,0.00567,0.01257,-0.00411,-0.00646,0.01257,-0.00702,-0.0033,0.01257,-0.02438,-0.03081,0.01257,-0.04416,FAILED_EXPANSION
5m,1788723600000,1788723899999,2026-09-06 19:40:00+00:00,COMPRESSION,0.1788,False,79807.92,-5.512933341633719e-05,5.513237282726741e-05,18.19569,0.0002649045304724849,LOW_VOLATILITY_COMPRESSION,5m_161,GEV_0025,-0.00182,17.41,0.00145,18.25,-0.00048,29.55,-0.00059,30.49,-0.02124,44.63,0.01485,48.97,0.00183,0.00203,-0.00039,0.00721,0.00852,-0.00202,-0.00656,0.00942,-0.01011,-0.00583,0.00942,-0.01413,-0.01893,0.00942,-0.02741,-0.03211,0.00942,-0.04713,COMPRESSION_REGIME
5m,1788723900000,1788724199999,2026-09-06 19:45:00+00:00,COMPRESSION,0.1965,False,79811.99,5.099744486525282e-05,0.00011326618970399807,19.47612,0.00025945470781592723,LOW_VOLATILITY_COMPRESSION,5m_162,GEV_0025,-0.00138,16.44,0.00138,18.47,-0.00034,29.49,0.00084,30.5,-0.02026,44.56,0.0149,48.95,0.0015,0.00202,-0.00044,0.00881,0.00937,-0.00207,-0.00561,0.00937,-0.01016,-0.00548,0.00937,-0.01418,-0.01854,0.00937,-0.02746,-0.03207,0.00937,-0.04718,COMPRESSION_REGIME
5m,1788724200000,1788724499999,2026-09-06 19:50:00+00:00,COMPRESSION,0.0762,False,79812.0,1.2529445747588852e-07,3.758833258010806e-07,14.58484,0.00026016314805524433,LOW_VOLATILITY_COMPRESSION,5m_163,GEV_0025,-0.00136,16.53,0.00196,18.67,-2e-05,29.46,0.00084,30.42,-0.02301,44.45,0.0149,48.93,0.00118,0.00202,-0.00044,0.00753,0.00937,-0.00207,-0.00592,0.00937,-0.01016,-0.00559,0.00937,-0.01418,-0.01982,0.00937,-0.02746,-0.03183,0.00937,-0.04718,COMPRESSION_REGIME
5m,1788732300000,1788732599999,2026-09-06 22:05:00+00:00,DOWNWARD_EXPANSION,0.9507,False,79687.4,-0.0018293086205480869,0.0026741994342895595,46.03902,0.0007129945451699652,HIGH_VOLATILITY,5m_164,GEV_0026,-0.00356,34.03,-0.00186,23.01,-0.00293,25.33,-0.00212,29.91,-0.02154,42.71,0.01332,48.58,0.00701,0.00834,-0.00051,0.00149,0.01095,-0.00051,-0.00388,0.01095,-0.00861,-0.00612,0.01095,-0.01264,-0.023,0.01095,-0.02594,-0.0342,0.01095,-0.04569,FAILED_EXPANSION
5m,1788735600000,1788735899999,2026-09-06 23:00:00+00:00,UPWARD_EXPANSION,0.9924,True,80220.0,0.0020589550930938394,0.004265519820493556,107.09154,0.0010955142613672637,HIGH_VOLATILITY,5m_165,GEV_0027,0.00484,45.68,0.00397,29.07,0.00308,27.49,0.00589,29.93,-0.01188,42.53,0.02009,48.57,0.00132,0.00424,-0.00262,-0.00303,0.00424,-0.00524,-0.01132,0.00424,-0.01519,-0.01542,0.00424,-0.0192,-0.02611,0.00424,-0.03241,-0.04321,0.00424,-0.05202,FAILED_EXPANSION
5m,1788737700000,1788737999999,2026-09-06 23:35:00+00:00,BREAKOUT_CANDIDATE,0.9913,True,80441.99,0.0028173933900210724,0.0029339154836919715,98.01618,0.0011474140127612036,HIGH_VOLATILITY,5m_166,GEV_0028,0.00605,58.35,0.00789,35.45,0.00661,29.39,0.00807,31.08,-0.01074,42.74,0.02291,48.62,-0.00345,0.00147,-0.00473,-0.00954,0.00147,-0.00954,-0.01278,0.00147,-0.01791,-0.0174,0.00147,-0.0219,-0.02734,0.00147,-0.03508,-0.04542,0.00147,-0.05464,FALSE_BREAKOUT_CANDIDATE
5m,1788738300000,1788738599999,2026-09-06 23:45:00+00:00,UPWARD_EXPANSION,0.9818,False,80514.97,0.0016386498430953633,0.0021951197398447173,93.69407,0.0012486592964399358,TRENDING_UP,5m_167,GEV_0028,0.00644,66.5,0.00881,38.65,0.00703,30.51,0.00883,30.59,-0.0088,42.88,0.02384,48.68,-0.00437,0.00056,-0.00563,-0.01084,0.00056,-0.01152,-0.0137,0.00056,-0.0188,-0.01646,0.00056,-0.02279,-0.02792,0.00056,-0.03596,-0.04592,0.00056,-0.0555,FAILED_EXPANSION
5m,1788738600000,1788738899999,2026-09-06 23:50:00+00:00,DOWNWARD_EXPANSION,0.9642,False,80413.14,-0.001264733750754643,0.0017161374372397346,109.94581,0.0013531851170681354,TRENDING_UP,5m_168,GEV_0028,0.00476,72.66,0.00753,40.5,0.0062,31.12,0.00698,30.61,-0.01086,42.98,0.02255,48.71,-0.00324,0.0015,-0.00437,-0.00943,0.0015,-0.0105,-0.01226,0.0015,-0.01756,-0.01571,0.0015,-0.02155,-0.02634,0.0015,-0.03473,-0.04471,0.0015,-0.0543,EVENT_CONTINUATION
